,가해자성별,교차로형태,기상상태,노면상태,노면상태_대분류,노인보호구역,당사자종별가해자,당사자종별피해자,도로선형,도로선형_대분류,도로선형_중분류,도로종류,도로형태,법규위반가해자,보호장구가해자_대분류,보호장구피해자_대분류,사고유형,사고유형_대분류,어린이보호구역,연령가해자,연령피해자,요일,주야,차량용도가해자,차량용도가해자_대분류,차량용도피해자,차량용도피해자_대분류,피해자성별,행동유형가해자,행동유형피해자,행동유형피해자_대분류,도로심각도지수basic
217111,기타불명,교차로아님,맑음,건조,포장 건조,아니오,기타불명,보행자,평지,직선,직선,기타불명,기타단일로,기타불명,기타불명,보행자,횡단중,차대사람 횡단중,아니오,0,79,수,주,기타불명,기타불명,보행자,보행자,여,기타불명,보행자 길가장자리구역통행,보행자,0.0068
217126,기타불명,교차로아님,맑음,건조,포장 건조,아니오,자전거,보행자,평지,직선,직선,기타불명,기타단일로,기타불명,기타불명,보행자,기타불명,차대사람,아니오,0,80,목,주,자전거,자전거,보행자,보행자,여,기타불명,보행자 보도통행,보행자,0.0033
217659,남,교차로사지,흐림,건조,포장 건조,아니오,화물차,보행자,평지,직선,직선,기타불명,교차로내,교차로통행방법위반,안전벨트카시트,보행자,기타불명,차대사람,아니오,32,62,월,주,비사업용 화물차,비사업용,보행자,보행자,여,직진중,보행자 길가장자리구역통행,보행자,0.0068
217709,여,교차로아님,맑음,건조,포장 건조,아니오,승용차,보행자,내리막,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,51,64,월,야,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.1168
217741,남,교차로아님,맑음,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,27,69,수,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.0068
217748,남,교차로아님,맑음,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,일반국도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,39,77,목,야,사업용 법인택시,사업용,보행자,보행자,여,직진중,보행자 길가장자리구역통행,보행자,0.1168
217755,남,교차로회전,맑음,건조,포장 건조,아니오,승합차,보행자,평지,좌 커브곡각,좌,일반국도,교차로내,안전운전의무불이행,기타불명,보행자,기타불명,차대사람,아니오,50,60,월,주,사업용 시내버스,사업용,보행자,보행자,여,주행중대기,보행자 승차중관련,보행자,0.0068
217849,여,교차로아님,맑음,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,56,64,월,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.0068
217854,여,교차로사지,맑음,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,일반국도,교차로내,안전운전의무불이행,기타불명,보행자,기타불명,차대사람,아니오,32,73,월,주,비사업용 승용차,비사업용,보행자,보행자,여,우회전중,보행자 기타불명,보행자,0.0068
217897,남,교차로사지,비,젖음습기,포장 젖음습기,아니오,승용차,보행자,평지,직선,직선,기타불명,교차로내,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,38,63,목,야,비사업용 승용차,비사업용,보행자,보행자,여,좌회전중,보행자 마주보고통행,보행자,0.0068
